name,type_of_meteorite,mass_g,fell_found,year,database,coordinate_1,coordinates_2,cartodb_id,created_at,updated_at,year_date,long,lat,geojson
Jaime L. Matta,Researcher,1,Moffitt Cancer Center,1988,http://ppfp.ucop.edu/info/,18.01,-66.61,1,56:02.8,11:51.9,1/1/1967 0:00,-66.61,18.01,"{""type"":""Point"",""coordinates"":[-66.61,18.01]}"
Elizabeth Stordeur Pryor,Assistant Professor,1,Smith College,2008,http://ppfp.ucop.edu/info/,42.32,-72.64,2,56:02.8,11:51.9,1/1/1967 0:00,-72.64,42.32,"{""type"":""Point"",""coordinates"":[-72.64,42.32]}"
David M. Hernandez,Assistant Professor,1,Mount Holyoke College,2005,http://ppfp.ucop.edu/info/,42.31,-72.53,3,56:02.8,11:51.9,1/1/1967 0:00,-72.53,42.31,"{""type"":""Point"",""coordinates"":[-72.53,42.31]}"
Devin George Edward Walker,Postdoctoral Scholar,1,Harvard University,2007,http://ppfp.ucop.edu/info/,42.4,-71.11,4,56:02.8,11:51.9,1/1/1967 0:00,-71.11,42.4,"{""type"":""Point"",""coordinates"":[-71.11,42.4]}"
Katherlyn Ledyard,Labatory Manager,1,Harvard University,1992,http://ppfp.ucop.edu/info/,42.4,-71.11,5,56:02.8,11:51.9,1/1/1967 0:00,-71.11,42.4,"{""type"":""Point"",""coordinates"":[-71.11,42.4]}"
Lisa Randall,Professor,1,Harvard University,1988,http://ppfp.ucop.edu/info/,42.4,-71.11,6,56:02.8,11:51.9,1/1/1967 0:00,-71.11,42.4,"{""type"":""Point"",""coordinates"":[-71.11,42.4]}"
Alyssa A. Goodman,Professor,1,Harvard University,1989,http://ppfp.ucop.edu/info/,42.4,-71.11,7,56:02.8,11:51.9,1/1/1967 0:00,-71.11,42.4,"{""type"":""Point"",""coordinates"":[-71.11,42.4]}"
Corey Harwell,Assistant Professor,1,Harvard University,2010,http://ppfp.ucop.edu/info/,42.4,-71.11,8,56:02.8,11:51.9,1/1/1967 0:00,-71.11,42.4,"{""type"":""Point"",""coordinates"":[-71.11,42.4]}"
Cullen Richard Buie,Assistant Professor,1,MIT,2008,http://ppfp.ucop.edu/info/,42.38,-71.09,9,56:02.8,11:51.9,1/1/1967 0:00,-71.09,42.38,"{""type"":""Point"",""coordinates"":[-71.09,42.38]}"
Wesley Charles Clapp,"Co-founder, Director",1,"NeuroEnhance, Neuroscouting LLC",2007,http://ppfp.ucop.edu/info/,42.4,-71.11,10,56:02.8,11:51.9,1/1/1967 0:00,-71.11,42.4,"{""type"":""Point"",""coordinates"":[-71.11,42.4]}"
Laura de Francesco,Senior Editor,1,Nature Publishing Group,1985,http://ppfp.ucop.edu/info/,42.38,-71.06,11,56:02.8,11:51.9,1/1/1967 0:00,-71.06,42.38,"{""type"":""Point"",""coordinates"":[-71.06,42.38]}"
Christina A. Cuomo,Research Scientist,1,Broad Institute at Harvard University,1999,http://ppfp.ucop.edu/info/,42.37,-71.07,12,56:02.8,11:51.9,1/1/1967 0:00,-71.07,42.37,"{""type"":""Point"",""coordinates"":[-71.07,42.37]}"
Christopher Wetzel,Assistant Professor,1,Stonehill College,2007,http://ppfp.ucop.edu/info/,42.07,-71.07,13,56:02.8,11:51.9,1/1/1967 0:00,-71.07,42.07,"{""type"":""Point"",""coordinates"":[-71.07,42.07]}"
Maria Saldana,Associate Professor,1,Brown,1993,http://ppfp.ucop.edu/info/,41.83,-71.4,14,56:02.8,11:51.9,1/1/1967 0:00,-71.4,41.83,"{""type"":""Point"",""coordinates"":[-71.4,41.83]}"
Marion Orr,Professor,1,Brown University,1992,http://ppfp.ucop.edu/info/,41.83,-71.4,15,56:02.8,11:51.9,1/1/1967 0:00,-71.4,41.83,"{""type"":""Point"",""coordinates"":[-71.4,41.83]}"
Andrew G. Campbell,Associate Professor,1,Brown University,1987,http://ppfp.ucop.edu/info/,41.83,-71.4,16,56:02.8,11:51.9,1/1/1967 0:00,-71.4,41.83,"{""type"":""Point"",""coordinates"":[-71.4,41.83]}"
Rosa C. Orellana,Associate Professor,1,Dartmouth College,1999,http://ppfp.ucop.edu/info/,43.77,-72.09,17,56:02.8,11:51.9,1/1/1967 0:00,-72.09,43.77,"{""type"":""Point"",""coordinates"":[-72.09,43.77]}"
Elizabeth Ann Perez,Assistant Professor,1,Dartmouth College,2010,http://ppfp.ucop.edu/info/,43.77,-72.09,18,56:02.8,11:51.9,1/1/1967 0:00,-72.09,43.77,"{""type"":""Point"",""coordinates"":[-72.09,43.77]}"
Sharon L. Pedersen,Senior Database Analyst and Programmer,1,Bowdoin College,1988,http://ppfp.ucop.edu/info/,43.98,-69.86,19,56:02.8,11:51.9,1/1/1967 0:00,-69.86,43.98,"{""type"":""Point"",""coordinates"":[-69.86,43.98]}"
Manuel Lionel Reyes,Assistant Professor,1,Bowdoin College,2010,http://ppfp.ucop.edu/info/,43.98,-69.86,20,56:02.8,11:51.9,1/1/1967 0:00,-69.86,43.98,"{""type"":""Point"",""coordinates"":[-69.86,43.98]}"
Lily N. A. Owusu-Darkwa,Political Analyst,1,"African Union Commission, Addis Ababa",2002,http://ppfp.ucop.edu/info/,44.72,-72.58,21,56:02.8,11:51.9,1/1/1967 0:00,-72.58,44.72,"{""type"":""Point"",""coordinates"":[-72.58,44.72]}"
Kamari Clarke,Professor,1,Yale University,1997,http://ppfp.ucop.edu/info/,41.31,-72.93,22,56:02.8,11:51.9,1/1/1967 0:00,-72.93,41.31,"{""type"":""Point"",""coordinates"":[-72.93,41.31]}"
Stephen Joseph Pitti,Professor,1,Yale University,1997,http://ppfp.ucop.edu/info/,41.31,-72.93,23,56:02.8,11:51.9,1/1/1967 0:00,-72.93,41.31,"{""type"":""Point"",""coordinates"":[-72.93,41.31]}"
William J. Martin,Executive Director,1,Theravance Inc.,1995,http://ppfp.ucop.edu/info/,40.63,-74.26,24,56:02.8,11:51.9,1/1/1967 0:00,-74.26,40.63,"{""type"":""Point"",""coordinates"":[-74.26,40.63]}"
Daphne Brooks,Professor,1,Princeton University,1997,http://ppfp.ucop.edu/info/,40.35,-74.65,25,56:02.8,11:51.9,1/1/1967 0:00,-74.65,40.35,"{""type"":""Point"",""coordinates"":[-74.65,40.35]}"
Eduardo Cadava,Professor,1,Princeton University,1988,http://ppfp.ucop.edu/info/,40.35,-74.65,26,56:02.8,11:51.9,1/1/1967 0:00,-74.65,40.35,"{""type"":""Point"",""coordinates"":[-74.65,40.35]}"
Jean Baum,Professor,1,Rutgers University,1986,http://ppfp.ucop.edu/info/,40.6,-74.41,27,56:02.8,11:51.9,1/1/1967 0:00,-74.41,40.6,"{""type"":""Point"",""coordinates"":[-74.41,40.6]}"
Carolyn A. Brown,Associate Professor,1,Rutgers University,1989,http://ppfp.ucop.edu/info/,40.6,-74.41,28,56:02.8,11:51.9,1/1/1967 0:00,-74.41,40.6,"{""type"":""Point"",""coordinates"":[-74.41,40.6]}"
